time,WindSpeed,AeroThrust,AeroFx,AeroFy,AeroFz,AeroMx,AeroMy,AeroMz,GenTq,GenPwr
6.719999999999901,11.4,757.0063876328371,757.0063876328371,0.0,0.0,0.0,68130.57488695525,0.0,43093.55,2479338.7561463322
6.7499999999999005,11.4,757.0063876328371,757.0063876328371,0.0,0.0,0.0,68130.57488695525,0.0,43093.55,2479338.7561463322
6.7799999999999,11.4,902.9732479731804,902.9732479731804,0.0,0.0,0.0,81267.5923175863,0.0,43093.55,2479338.7561463322
6.809999999999899,11.4,1047.9884605252723,1047.9884605252723,0.0,0.0,0.0,94318.96144727463,0.0,43093.55,2479338.7561463322
6.839999999999899,11.4,1047.9884605252723,1047.9884605252723,0.0,0.0,0.0,94318.96144727463,0.0,43093.55,2479338.7561463322
6.869999999999898,11.4,1191.907469622624,1191.907469622624,0.0,0.0,0.0,107271.6722660362,0.0,43093.55,2479338.7561463322
6.899999999999897,11.4,1191.907469622624,1191.907469622624,0.0,0.0,0.0,107271.6722660362,0.0,43093.55,2479338.7561463322
6.929999999999897,11.4,1334.5804374750842,1334.5804374750842,0.0,0.0,0.0,120112.23937275747,0.0,43093.55,2479338.7561463322
6.959999999999896,11.4,1475.8199974333268,1475.8199974333268,0.0,0.0,0.0,132823.79976899942,0.0,43093.55,2479338.7561463322
6.989999999999895,11.4,1475.8199974333268,1475.8199974333268,0.0,0.0,0.0,132823.79976899942,0.0,43093.55,2479338.7561463322
7.019999999999895,11.4,1615.4086499940518,1615.4086499940518,0.0,0.0,0.0,145386.77849946456,0.0,43093.55,2479338.7561463322
7.049999999999894,11.4,1615.4086499940518,1615.4086499940518,0.0,0.0,0.0,145386.77849946456,0.0,43093.55,2479338.7561463322
7.0799999999998935,11.4,1753.1281230803454,1753.1281230803454,0.0,0.0,0.0,157781.5310772311,0.0,43093.55,2479338.7561463322
7.109999999999893,11.4,1888.7760322660417,1888.7760322660417,0.0,0.0,0.0,169989.8429039437,0.0,43093.55,2479338.7561463322
7.139999999999892,11.4,1888.7760322660417,1888.7760322660417,0.0,0.0,0.0,169989.8429039437,0.0,43093.55,2479338.7561463322
7.169999999999892,11.4,2022.1568261656546,2022.1568261656546,0.0,0.0,0.0,181994.11435490887,0.0,43093.55,2479338.7561463322
7.199999999999891,11.4,2022.1568261656546,2022.1568261656546,0.0,0.0,0.0,181994.11435490887,0.0,43093.55,2479338.7561463322
7.22999999999989,11.4,2153.062873759745,2153.062873759745,0.0,0.0,0.0,193775.65863837712,0.0,43093.55,2479338.7561463322
7.25999999999989,11.4,2281.2672471943574,2281.2672471943574,0.0,0.0,0.0,205314.0522474921,0.0,43093.55,2479338.7561463322
7.289999999999889,11.4,2281.2672471943574,2281.2672471943574,0.0,0.0,0.0,205314.0522474921,0.0,43093.55,2479338.7561463322
7.319999999999888,11.4,2406.53265874533,2406.53265874533,0.0,0.0,0.0,216587.93928707976,0.0,43093.55,2479338.7561463322
7.349999999999888,11.4,2406.53265874533,2406.53265874533,0.0,0.0,0.0,216587.93928707976,0.0,43093.55,2479338.7561463322
