dof_B1E1,dof_B1F1,dof_B1F2,dof_B2E1,dof_B2F1,dof_B2F2,dof_B3E1,dof_B3F1,dof_B3F2,dof_DrTr,dof_GenAz,dof_Heave,dof_NacYaw,dof_Pitch,dof_Roll,dof_Surge,dof_Sway,dof_TwrFA1,dof_TwrFA2,dof_TwrSS1,dof_TwrSS2,dof_Yaw,env_AeroThrust,env_GenPower,env_GenTorque,env_PitchCmd,env_Time,env_WaveElev,env_WindSpeed,env_wave_elev,env_wind_speed,gen_torque,moor_Fx,moor_Fy,moor_Fz,moor_Mx,moor_My,moor_Mz,moor_Time,qB1E1,qB1F1,qB1F2,qB2E1,qB2F1,qB2F2,qB3E1,qB3F1,qB3F2,qDrTr,qGeAz,qHv,qP,qR,qSg,qSw,qTFA1,qTFA2,qTSS1,qTSS2,qY,qyaw,thrust,time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.056990636121022,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,9.62999999999984,1.8281190755562746,11.4,1.8281190755562746,11.4,43093.55,0.0,0.0,0.0,0.0,0.0,0.0,9.62999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.03999999999434,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,9.639999999999839
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.063273821428202,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,9.639999999999839,1.8286180269281473,11.4,1.8286180269281473,11.4,43093.55,0.0,0.0,0.0,0.0,0.0,0.0,9.639999999999839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.39999999999435,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,9.649999999999839
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.069557006735381,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,9.649999999999839,1.829040253165781,11.4,1.829040253165781,11.4,43093.55,0.0,0.0,0.0,0.0,0.0,0.0,9.649999999999839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.7599999999943,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,9.659999999999838
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.07584019204256,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,9.659999999999838,1.8293857365534125,11.4,1.8293857365534125,11.4,43093.55,0.0,0.0,0.0,0.0,0.0,0.0,9.659999999999838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.11999999999426,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,9.669999999999838
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.082123377349739,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,9.669999999999838,1.8296544625952538,11.4,1.8296544625952538,11.4,43093.55,0.0,0.0,0.0,0.0,0.0,0.0,9.669999999999838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.4799999999943,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,9.679999999999838
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.088406562656918,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,9.679999999999838,1.8298464200161004,11.4,1.8298464200161004,11.4,43093.55,0.0,0.0,0.0,0.0,0.0,0.0,9.679999999999838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.83999999999423,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,9.689999999999838
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.094689747964098,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,9.689999999999838,1.8299616007618054,11.4,1.8299616007618054,11.4,43093.55,0.0,0.0,0.0,0.0,0.0,0.0,9.689999999999838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.1999999999942,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,9.699999999999838
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.100972933271277,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,9.699999999999838,1.8299999999996162,11.4,1.8299999999996162,11.4,43093.55,0.0,0.0,0.0,0.0,0.0,0.0,9.699999999999838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.5599999999942,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,9.709999999999837
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.107256118578456,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,9.709999999999837,1.829961616118378,11.4,1.829961616118378,11.4,43093.55,0.0,0.0,0.0,0.0,0.0,0.0,9.709999999999837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.91999999999416,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,9.719999999999837
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.113539303885635,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,9.719999999999837,1.8298464507286014,11.4,1.8298464507286014,11.4,43093.55,0.0,0.0,0.0,0.0,0.0,0.0,9.719999999999837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.2799999999941,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,9.729999999999837
